2;arms_factory;625.00;11.60;971.00;6.26;0
2;arms_factory;646.00;12.60;975.00;4.10;0
2;arms_factory;618.00;11.48;975.00;0.48;0
2;arms_factory;611.00;11.50;977.00;2.04;0
2;arms_factory;638.00;11.32;981.00;4.71;0
2;arms_factory;647.00;12.68;957.00;2.55;0
2;industrial_complex;639.00;11.35;986.00;2.65;0
2;industrial_complex;644.00;13.05;987.00;0.49;0
2;industrial_complex;646.00;13.53;962.00;4.61;0
2;industrial_complex;574.00;11.30;979.00;5.82;0
2;industrial_complex;572.00;11.30;980.00;2.55;0
2;industrial_complex;564.00;11.10;983.00;5.22;0
2;air_base;559.00;11.10;984.00;1.60;0
2;bunker;574.00;11.55;984.00;4.27;0
2;bunker;631.00;11.35;984.00;1.00;0
2;bunker;653.00;12.62;963.00;3.66;0
2;bunker;586.00;11.25;982.00;0.05;0
2;bunker;544.00;11.65;993.00;2.71;0
2;bunker;640.00;12.65;962.00;5.73;0
2;bunker;572.00;11.82;1010.00;2.11;0
2;bunker;572.00;11.70;989.00;4.78;0
2;bunker;646.00;12.35;972.00;2.61;0
2;bunker;602.00;11.00;988.00;2.72;0
2;anti_air_building;620.00;11.50;997.00;0.56;0
2;anti_air_building;623.00;11.48;998.00;3.22;0
2;anti_air_building;605.00;11.70;981.00;4.78;0
2;synthetic_refinery;602.00;11.05;986.00;1.16;0
2;fuel_silo;600.00;11.10;987.00;5.28;0
2;rocket_site;610.00;10.90;990.00;3.23;0
2;nuclear_reactor;604.00;10.98;991.00;1.07;0
3;arms_factory;548.00;11.55;1031.00;0.48;0
3;arms_factory;599.00;11.40;1098.00;2.04;0
3;arms_factory;609.00;11.20;1039.00;4.71;0
3;arms_factory;550.00;11.48;1031.00;2.55;0
3;arms_factory;580.00;11.38;1062.00;2.65;0
3;arms_factory;610.00;11.15;1039.00;0.49;0
3;industrial_complex;552.00;11.65;1031.00;4.61;0
3;industrial_complex;582.00;11.30;1062.00;5.82;0
3;industrial_complex;612.00;11.10;1039.00;2.55;0
3;industrial_complex;599.00;11.60;1096.00;5.22;0
3;industrial_complex;577.00;11.55;1063.00;1.60;0
3;industrial_complex;614.00;11.10;1039.00;4.27;0
3;air_base;600.00;11.60;1096.00;1.00;0
3;bunker;579.00;11.45;1063.00;3.66;0
3;bunker;601.00;10.73;1069.00;0.05;0
3;bunker;557.00;11.30;1045.00;2.71;0
3;bunker;618.00;10.98;1049.00;5.73;0
3;bunker;570.00;11.38;1027.00;2.11;0
3;bunker;599.00;11.65;1085.00;4.78;0
3;bunker;618.00;10.55;1071.00;2.61;0
3;bunker;578.00;11.40;1035.00;2.72;0
3;bunker;595.00;11.45;1030.00;0.56;0
3;bunker;584.00;11.20;1057.00;3.22;0
3;bunker;570.00;11.30;1050.00;4.78;0
3;bunker;635.00;10.60;1105.00;1.16;0
3;bunker;603.00;11.40;1043.00;5.28;0
3;anti_air_building;613.00;10.75;1086.00;0.21;0
3;anti_air_building;599.00;10.90;1066.00;3.23;0
3;anti_air_building;606.00;11.35;1038.00;1.07;0
3;synthetic_refinery;615.00;10.60;1086.00;3.73;0
3;fuel_silo;589.00;11.30;1067.00;0.11;0
3;rocket_site;617.00;10.40;1086.00;5.80;0
3;nuclear_reactor;591.00;10.98;1067.00;0.72;0
4;arms_factory;656.00;13.90;1114.00;4.71;0
4;arms_factory;658.00;12.62;1011.00;2.55;0
4;arms_factory;662.00;12.57;993.00;2.65;0
4;arms_factory;656.00;12.68;1029.00;0.49;0
4;arms_factory;649.00;12.70;1039.00;4.61;0
4;arms_factory;631.00;12.32;1038.00;5.82;0
4;industrial_complex;676.00;10.57;1067.00;2.55;0
4;industrial_complex;663.00;12.28;1055.00;5.22;0
4;industrial_complex;683.00;11.30;1083.00;1.60;0
4;industrial_complex;657.00;13.07;984.00;4.27;0
4;industrial_complex;652.00;14.80;1090.00;1.00;0
4;industrial_complex;646.00;13.45;1001.00;3.66;0
4;air_base;656.00;12.75;1120.00;0.05;0
4;bunker;666.00;12.20;1025.00;2.71;0
4;bunker;668.00;10.55;1084.00;5.73;0
4;bunker;633.00;12.68;1051.00;2.11;0
4;bunker;649.00;15.90;1083.00;4.78;0
4;bunker;641.00;12.53;1039.00;2.61;0
4;bunker;646.00;13.45;1001.00;2.72;0
4;bunker;613.00;12.40;1016.00;0.56;0
4;bunker;666.00;12.23;1052.00;3.22;0
